id,hall_id,hall_num
6026,193,8
5238,193,8
5237,193,8
5227,193,8
5478,193,8
5491,193,8
5232,193,8
5240,193,8
4849,193,8
5494,193,8
5241,193,8
6039,193,8
5492,193,8
4679,193,8
5488,193,8
5487,193,8
5498,193,8
4839,193,8
5479,193,8
4844,193,8
4764,193,8
5485,193,8
5231,193,8
4836,193,8
4837,193,8
4845,193,8
5497,193,8
4850,193,8
5490,193,8
5489,193,8
5475,193,8
5412,193,8
5496,193,8
6149,193,8
5495,193,8
6150,193,8
4851,193,8
4840,193,8
4509,205,21
4404,205,21
4633,205,21
4597,205,21
4542,205,21
4540,205,21
4541,205,21
4543,205,21
4544,205,21
4545,205,21
4515,205,21
4501,205,21
4502,205,21
4517,205,21
4519,205,21
4518,205,21
4507,205,21
4506,205,21
4530,205,21
4807,205,21
4500,205,21
4499,205,21
4678,205,21
4693,205,21
4808,205,21
4809,205,21
4576,205,21
4566,205,21
4810,205,21
4575,205,21
4406,205,21
4551,205,21
4528,205,21
4818,205,21
7522,210,26
7534,210,26
7536,210,26
7535,210,26
7537,210,26
7538,210,26
7521,210,26
7540,210,26
7523,210,26
7541,210,26
7524,210,26
4827,210,26
7544,210,26
7546,210,26
7545,210,26
7547,210,26
7526,210,26
7530,210,26
7531,210,26
7533,210,26
7542,210,26
7529,210,26
7525,210,26
7532,210,26
7527,210,26
7528,210,26
7549,210,26
7548,210,26
7550,210,26
7553,210,26
7552,210,26
7551,210,26
7554,210,26
7539,210,26
7543,210,26
7555,210,26
6075,192,7
4932,192,7
7147,192,7
6751,192,7
6707,192,7
7148,192,7
6733,192,7
6635,192,7
6637,192,7
6077,192,7
6685,192,7
6686,192,7
6078,192,7
6754,192,7
6736,192,7
6737,192,7
6687,192,7
6761,192,7
6701,192,7
6678,192,7
6076,192,7
6671,192,7
6694,192,7
6681,192,7
6717,192,7
6079,192,7
6080,192,7
6672,192,7
6770,192,7
6081,192,7
6725,192,7
6722,192,7
6082,192,7
6692,192,7
6693,192,7
6689,192,7
6712,192,7
6723,192,7
6651,192,7
6667,192,7
6629,192,7
6764,192,7
6719,192,7
6669,192,7
6619,192,7
6684,192,7
6618,192,7
6767,192,7
6768,192,7
6705,192,7
6704,192,7
6675,192,7
6683,192,7
6700,192,7
6624,192,7
6718,192,7
6739,192,7
6658,192,7
6657,192,7
6654,192,7
6682,192,7
6620,192,7
6627,192,7
6656,192,7
6655,192,7
6756,192,7
6757,192,7
6632,192,7
6633,192,7
6745,192,7
6726,192,7
6673,192,7
6674,192,7
6648,192,7
6645,192,7
6646,192,7
6647,192,7
6715,192,7
6691,192,7
6724,192,7
6625,192,7
6690,192,7
6615,192,7
6696,192,7
6697,192,7
6698,192,7
6742,192,7
6610,192,7
6711,192,7
6614,192,7
6670,192,7
4920,151,15
4007,151,15
4195,151,15
4009,151,15
4008,151,15
4010,151,15
4011,151,15
4012,151,15
4013,151,15
4014,151,15
4015,151,15
4016,151,15
4017,151,15
4018,151,15
4019,151,15
8937,160,24
4128,160,24
5154,160,24
5153,160,24
5975,160,24
5838,160,24
5118,160,24
4029,160,24
4027,160,24
5131,160,24
7496,212,28
7495,212,28
7557,212,28
7491,212,28
7494,212,28
7493,212,28
7492,212,28
7485,212,28
7482,212,28
7481,212,28
7484,212,28
7483,212,28
7486,212,28
7477,212,28
7474,212,28
7473,212,28
7475,212,28
7476,212,28
7472,212,28
7478,212,28
7480,212,28
7479,212,28
7497,212,28
7498,212,28
7490,212,28
7487,212,28
7489,212,28
7488,212,28
7499,212,28
7468,198,15
7507,198,15
7509,198,15
7510,198,15
7508,198,15
7512,198,15
7519,198,15
7461,198,15
7462,198,15
7459,198,15
7463,198,15
7469,198,15
7464,198,15
4933,198,15
7467,198,15
7517,198,15
7518,198,15
8801,198,15
7506,198,15
7500,198,15
7513,198,15
7502,198,15
7501,198,15
7504,198,15
7470,198,15
7465,198,15
7514,198,15
7466,198,15
7457,198,15
7511,198,15
7471,198,15
7505,198,15
7503,198,15
7515,198,15
7460,198,15
7516,198,15
7458,198,15
8800,198,15
8802,198,15
